Title,Genre,Runtime,IMDB Score,Language,Release month,Release Day,Release Year
Shawn Mendes: In Wonder,Documentary,83,6.6,English,November,23,2020
Space Sweepers,Science fiction,136,6.6,Korean,February,5,2021
The American Meme,Documentary,98,6.6,English,December,7,2018
The Angel,Spy thriller,114,6.6,English,September,14,2018
The Crimes That Bind,Crime drama,99,6.6,Spanish,August,20,2020
The Red Sea Diving Resort,Spy thriller,130,6.6,English,July,31,2019
What Would Sophia Loren Do?,Documentary,32,6.6,English,January,15,2021
A Whisker Away,Anime/Fantasy,104,6.7,Japanese,June,18,2020
Ajeeb Daastaans,Drama,142,6.7,Hindi,April,16,2021
Arlo the Alligator Boy,Animated musical comedy,92,6.7,English,April,16,2021
"Bikram: Yogi, Guru, Predator",Documentary,86,6.7,English,November,20,2019
Blame!,Anime/Science fiction,106,6.7,Japanese,May,20,2017
Blue Miracle,Drama,95,6.7,English,May,27,2021
CounterPunch ,Documentary,91,6.7,English,June,16,2017
"Crack: Cocaine, Corruption & Conspiracy",Documentary,89,6.7,English,January,11,2021
Extraction,Action,117,6.7,English,April,24,2020
Giving Voice,Documentary,90,6.7,English,December,11,2020
Hillbilly Elegy,Drama,117,6.7,English,November,24,2020
Hope Frozen: A Quest to Live Twice,Documentary,80,6.7,Thia/English,September,15,2020
Imperial Dreams,Drama,87,6.7,English,February,3,2017
Just Another Christmas,Comedy,101,6.7,Portuguese,December,3,2020
Little Miss Sumo,Documentary,19,6.7,Japanese,October,28,2019
Malcolm & Marie,Romantic drama,106,6.7,English,February,5,2021
"Michael Bolton's Big, Sexy, Valentine's Day Special",Variety Show,54,6.7,English,February,7,2017
Moxie,Drama,111,6.7,English,March,3,2021
Night in Paradise,Drama,132,6.7,Korean,April,9,2021
Paper Lives,Drama,97,6.7,Turkish,March,12,2021
Parchis: The Documentary,Documentary,106,6.7,Spanish,July,10,2019
Tallulah,Comedy-drama,111,6.7,English,July,29,2016
The Old Guard,Superhero/Action,124,6.7,English,July,10,2020
Upstarts,Drama,112,6.7,Hindi,October,18,2019
22 July,Drama,144,6.8,English,October,10,2018
7 años,Drama,76,6.8,Spanish,October,28,2016
A Futile and Stupid Gesture,Biographical/Comedy,101,6.8,English,January,26,2018
A Life of Speed: The Juan Manuel Fangio Story,Documentary,92,6.8,Spanish,March,20,2020
A Love Song for Latasha,Documentary,19,6.8,English,September,21,2020
All in My Family,Documentary,39,6.8,English/Mandarin,May,3,2019
Always Be My Maybe,Romantic comedy,102,6.8,English,May,31,2019
Becoming,Documentary,89,6.8,English,May,6,2020
Long Live Brij Mohan,Comedy,105,6.8,Hindi,August,3,2018
Calibre,Thriller,101,6.8,English,June,29,2018
Death to 2020,Comedy,70,6.8,English,December,27,2020
GIMS: On the Record,Documentary,96,6.8,French,September,17,2020
Have a Good Trip: Adventures in Psychedelics,Documentary,85,6.8,English,May,11,2020
Heroin(e) ,Documentary,39,6.8,English,September,12,2017
Mercury 13,Documentary,79,6.8,English,April,20,2018
Saving Capitalism,Documentary,73,6.8,English,November,21,2017
Serious Men,Drama,114,6.8,Hindi,October,2,2020
The Boys in the Band,Drama,121,6.8,English,September,30,2020
The Boys in the Band: Something Personal,Aftershow / Interview,28,6.8,English,September,30,2020
The Life Ahead,Drama,95,6.8,Italian,November,13,2020
The Other Side of the Wind,Drama,122,6.8,English,November,2,2018
The Trader,Documentary,23,6.8,Georgian,February,9,2018
To the Bone,Drama,107,6.8,English,July,14,2017
Tony Parker: The Final Shot,Documentary,98,6.8,French,January,6,2021
AK vs AK,Thriller,108,6.9,Hindi,December,24,2020
Amanda Knox,Documentary,92,6.9,English,September,30,2016
Bigflo & Oil: Hip Hop Frenzy,Documentary,100,6.9,French,October,8,2020
Biggie: I Got a Story to Tell,Documentary,97,6.9,English,March,1,2021
Cops and Robbers,Animation / Short,7,6.9,English,December,28,2020
I Don't Feel at Home in This World Anymore,Drama,96,6.9,English,February,24,2017
Laerte-se,Documentary,100,6.9,Portuguese,May,19,2017
Mank,Biopic,132,6.9,English,December,4,2020
Our Souls at Night,Romance,103,6.9,English,September,29,2017
Outlaw King,Historical-epic,121,6.9,English,November,9,2018
Pagglait,Comedy-drama,114,6.9,Hindi,March,26,2021
ReMastered: Who Shot the Sheriff?,Documentary,57,6.9,English,October,12,2018
Seeing Allred,Documentary,95,6.9,English,February,9,2018
Spelling the Dream,Documentary,83,6.9,English,June,3,2020
The Claudia Kishi Club,Documentary,17,6.9,English,July,10,2020
The Half of It,Romance,105,6.9,English,May,1,2020
The Highwaymen,Crime drama,131,6.9,English,March,29,2019
The Lonely Island Presents: The Unauthorized Bash Brothers Experience,Comedy / Musical,30,6.9,English,May,23,2019
The Meyerowitz Stories (New and Selected),Comedy-drama,112,6.9,English,October,13,2017
Feminists: What Were They Thinking?,Documentary,86,7.0,English,October,12,2018
Gaga: Five Foot Two,Documentary,100,7.0,English,September,22,2017
I'm No Longer Here: A Discussion with Guillermo del Toro and Alfonso Cuaron,Aftershow / Interview,14,7.0,English,November,3,2020
Kingdom of Us,Documentary,109,7.0,English,October,13,2017
"Lorena, Light-Footed Woman",Documentary,28,7.0,Spanish,November,20,2019
Los Tigres del Norte at Folsom Prison,Documentary,64,7.0,Spanish,September,15,2019
Ma Rainey's Black Bottom,Drama,94,7.0,English,December,18,2020
Ma Rainey's Black Bottom: A Legacy Brought to Screen,Aftershow / Interview,31,7.0,English,December,18,2020
Operation Varsity Blues: The College Admissions Scandal,Documentary,99,7.0,English,March,17,2021
Pele,Documentary,108,7.0,English,February,23,2021
ReMastered: Devil at the Crossroads,Documentary,48,7.0,English,April,26,2019
